year,state,state_po,state_fips,state_cen,state_ic,office,candidate,party_detailed,candidatevotes,Result,Strategy 1,strategy 2,strategy 3,strategy 4,strategy 5,People_ survey (%)
2020,COLORADO,CO,8,84,62,US PRESIDENT,"SCOTT, JORDAN ""CANCER""",INDEPENDENT,175,loss,increasing the public toilets ,introducing metro trains in 2nd level cities,free bicyle,loan waiver to hotels ,decrease of tax,29%
2020,COLORADO,CO,8,84,62,US PRESIDENT,"CELLA, TODD",INDEPENDENT,4,loss,decrease of petrol,free education,free washing machine,eradication of racisim,repayment omission for gold loan,10%
2020,COLORADO,CO,8,84,62,US PRESIDENT,"HOEFLING, TOM",NON-AFFILIATED,24,loss,gas pipline plan ,cancel of educatio loan,clean US,free bicyle,improvising USn economy to 5 trillion dollars,13%
2020,CONNECTICUT,CT,9,16,1,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,1080831,win,free laptop,free bicycle,free hospitilization,free education,job to youth,27%
2020,CONNECTICUT,CT,9,16,1,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,714717,loss,distribution of solar power cooking stoves,govt jobs to families without anyone in state service,increase in maternity leave period ,same ration card for all the states,2gb data free for students,39%
2020,CONNECTICUT,CT,9,16,1,US PRESIDENT,"JORGENSEN, JO",LIBERTARIAN,20230,loss,free laptop,free bicycle,2gb data free for college studensts,free washing machine,6 lpg cylinders are free for a year,18%
2020,CONNECTICUT,CT,9,16,1,US PRESIDENT,"HAWKINS, HOWIE",GREEN,7538,loss,free hospitalization,govt job to ladies,loan waiver to hotels,education empowerment,free bicycle,17%
2020,CONNECTICUT,CT,9,16,1,US PRESIDENT,"CARROLL, BRIAN",AMERICAN SOLIDARITY PARTY,219,loss,incresing the investement from foreign MNC's,same ration card for all the states,free laptop ,cancel of education loan,free bicycle,29%
2020,CONNECTICUT,CT,9,16,1,US PRESIDENT,"CHARLES, MARK",INDEPENDENT,11,loss,clean US,repayment omission for gold loan,free washing machine,buliding concrete houses for people living in huts,free education,20%
2020,CONNECTICUT,CT,9,16,1,US PRESIDENT,"KLOJZY, JEFFREY J.",,0,loss,expanding the rural employtment guarantee scheme to 150 days,hi-tech highways,transporation service in rural areas,free cylinders,2gb data free for students,30%
2020,CONNECTICUT,CT,9,16,1,US PRESIDENT,"WEINSTEIN, KARYNN KRILL",,1,loss,improving infrastructure in harbour ports,same ration card for all the states,increasing the public toilets,reservation in private sector wil also insisted ,clean US,37%
2020,CONNECTICUT,CT,9,16,1,US PRESIDENT,"WELLS, KASEY",NON-AFFILIATED,6,loss,free bicycle,free laptop,2gb data free for college studensts,6lpg cylinders are  free for a year,gas pipeline plan,25%
2020,CONNECTICUT,CT,9,16,1,US PRESIDENT,"SIMMONS, MARY RUTH CARO",,2,loss,increase in maternity leave period ,govt job to families without anyone in state service,free laptop ,free bicyle,hi-tech highways,34%
2020,CONNECTICUT,CT,9,16,1,US PRESIDENT,"DE LA FUENTE, ROQUE """"ROCKY""""",ALLIANCE,13,loss,improving infrastructure in harbour ports,same ration card for all the states,increasing the public toilets,reservation in private sector wil also insisted ,clean US,15%
2020,CONNECTICUT,CT,9,16,1,US PRESIDENT,"HOWARD, SHAWN W.",,12,loss,improvising the USn economy to 5 trillion dollars,hi-tech highways,repayment omission for gold loan,introducing metro trains in 2nd level cities,same ration card for all the states,97%
2020,CONNECTICUT,CT,9,16,1,US PRESIDENT,"SIMMONS, JADE",INDEPENDENT,22,loss,tourism development ,job to youth ,40% govt jon to ladies,free hospitalization,free education,32%
2020,CONNECTICUT,CT,9,16,1,US PRESIDENT,"WEST, KANYE",INDEPENDENT,255,loss,loan waiber to hotels,decrease of petrol ,decrease of tax,education empowerment,eradication of racisim,15%
2020,DELAWARE,DE,10,51,11,US PRESIDENT,"BELLAR, BARBARA",,7,loss,free washing machine,montlhy rs.1500 for household womens,6 lgp cylinders are free ,repayment omission for agriculture loan,repayment omission for gold loan,27%
2020,DELAWARE,DE,10,51,11,US PRESIDENT,"CARROLL, BRIAN",AMERICAN SOLIDARITY PARTY,87,loss,cancel of education loan,free laptop,free bicyle,2gb data for students,clean US,13%
2020,DELAWARE,DE,10,51,11,US PRESIDENT,"PIERCE, BROCK",INDEPENDENT,5,loss,gas pipline plan ,hi-tech highways,transporation service in rural areas,improvinf infrascture in harbour ports,increasing the investements from fereign MNC's,28%
2020,DELAWARE,DE,10,51,11,US PRESIDENT,"ROUSE, DEBORAH",,1,loss,improvising the USn economy to 5 trillion dollars,same ration card for all the states,buliding concrete houses for people living in huts,increasing the public toilets facility,introducing metro trains in 2nd level cities,37%
2020,DELAWARE,DE,10,51,11,US PRESIDENT,"BALL, DENNIS ANDREW",,3,loss,transportation services in rural areas,improving infrastructure in harbour ports,buliding concrete houses for people living in huts,job to  youth,repayment omission for agriculture loan,89%
2020,DELAWARE,DE,10,51,11,US PRESIDENT,"LA RIVA, GLORIA ESTELLA",PARTY FOR SOCIALISM AND LIBERATION,14,loss,loan waiber to hotels,decrease of petrol ,decrease of tax,education empowerment,eradication of racisim,16%
2020,DELAWARE,DE,10,51,11,US PRESIDENT,"SIMMONS, JADE",INDEPENDENT,28,loss,free washing machine,montlhy rs.1500 for household womens,6 lgp cylinders are free ,repayment omission for agriculture loan,repayment omission for gold loan,17%
2020,DELAWARE,DE,10,51,11,US PRESIDENT,"WEST, KANYE",INDEPENDENT,169,loss,distribution of solar power cooking stoves,expanding the rural employment gurantee schceme to 150 days,women would get 50% fare cut in town buses,free education,loan waiver to hotels,10%
2020,DELAWARE,DE,10,51,11,US PRESIDENT,"WELLS, KASEY",NON-AFFILIATED,1,loss,education empowerment,job to youth ,clean US,gas pipeline,cancel of education loan,34%
2020,DELAWARE,DE,10,51,11,US PRESIDENT,"GIBSON, KATHRYN",,1,loss,hi-tech highways,transporation services in rural areas,free laptop ,free hospitalization,eradication of racisim,18%
2020,DELAWARE,DE,10,51,11,US PRESIDENT,"CHARLES, MARK",INDEPENDENT,8,loss,40% govt job to ladies,decrease of petrol ,free bicycle,2gb data for students,improving infrastructure in harbour ports,9%
2020,DELAWARE,DE,10,51,11,US PRESIDENT,"WILLIAMS, MITCHELL",,2,loss,increasing investments for from foreign MNC's,repayment omission for agriculture loan,free education,loan waiver to hotels ,job to youth,75%
2020,DELAWARE,DE,10,51,11,US PRESIDENT,"BODDIE, R. PRESIDENT",INDEPENDENT,1,loss,cancel of education loan,free laptop,free bicyle,2gb data for students,clean US,27%
2020,DELAWARE,DE,10,51,11,US PRESIDENT,"JACOB?FAMBRO, PRINCESS KHADIJAH MARYAM",INDEPENDENT,2,loss,gas pipline plan ,hi-tech highways,transporation service in rural areas,improvinf infrascture in harbour ports,increasing the investements from fereign MNC's,18%
2020,DELAWARE,DE,10,51,11,US PRESIDENT,"HOWARD, SHAWN W.",,4,loss,free hospitalization,40% govt jobs to ladies,women would get 50% fare cut in town buses,increasing the public toilets facility,cancel of education loan,87%
2020,DELAWARE,DE,10,51,11,US PRESIDENT,"CELLA, TODD",INDEPENDENT,2,loss,improving infrastructure in harbour ports,same ration card for all the states,increasing the public toilets,reservation in private sector wil also insisted ,clean US,25%
2020,DELAWARE,DE,10,51,11,US PRESIDENT,"HOEFLING, TOM",NON-AFFILIATED,1,loss,free laptop,free bicycle,2gb data free for college studensts,free washing machine,6 lpg cylinders are free for a year,29%
2020,DELAWARE,DE,10,51,11,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,296268,win,tourism development ,job to youth ,40% govt jon to ladies,free hospitalization,free education,28%
2020,DELAWARE,DE,10,51,11,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,200603,loss,loan waiber to hotels,decrease of petrol ,decrease of tax,education empowerment,eradication of racisim,19%
2020,DELAWARE,DE,10,51,11,US PRESIDENT,"JORGENSEN, JO",LIBERTARIAN,5000,loss,free washing machine,montlhy rs.1500 for household womens,6 lgp cylinders are free ,repayment omission for agriculture loan,repayment omission for gold loan,29%
2020,DELAWARE,DE,10,51,11,US PRESIDENT,"HAWKINS, HOWIE",GREEN,2139,loss,cancel of education loan,free laptop,free bicyle,2gb data for students,clean US,15%
2020,DISTRICT OF COLUMBIA,DC,11,53,55,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,317323,win,gas pipline plan ,hi-tech highways,transporation service in rural areas,improvinf infrascture in harbour ports,increasing the investements from fereign MNC's,35%
2020,DISTRICT OF COLUMBIA,DC,11,53,55,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,18586,loss,improvising the USn economy to 5 trillion dollars,same ration card for all the states,buliding concrete houses for people living in huts,increasing the public toilets facility,introducing metro trains in 2nd level cities,28%
2020,DISTRICT OF COLUMBIA,DC,11,53,55,US PRESIDENT,"JORGENSEN, JO",LIBERTARIAN,2036,loss,gas pipline plan ,clean US,transporation service in rural areas,tourism development,decrease of petrol price,93%
2020,DISTRICT OF COLUMBIA,DC,11,53,55,US PRESIDENT,"HAWKINS, HOWIE",DC STATEHOOD GREEN,1726,loss,free laptop,free bicycle,2gb data free for college studensts,free washing machine,6 lpg cylinders are free for a year,18%
2020,DISTRICT OF COLUMBIA,DC,11,53,55,US PRESIDENT,"LA RIVA, GLORIA ESTELLA",INDEPENDENT,855,loss,free hospitalization,govt job to ladies,loan waiver to hotels,education empowerment,free bicycle,35%
2020,DISTRICT OF COLUMBIA,DC,11,53,55,US PRESIDENT,,,3137,loss,incresing the investement from foreign MNC's,same ration card for all the states,free laptop ,cancel of education loan,free bicycle,18%
2020,DISTRICT OF COLUMBIA,DC,11,53,55,US PRESIDENT,"PIERCE, BROCK",INDEPENDENT,693,loss,clean US,repayment omission for gold loan,free washing machine,buliding concrete houses for people living in huts,free education,36%
2020,FLORIDA,FL,12,59,43,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,5297045,win,expanding the rural employtment guarantee scheme to 150 days,hi-tech highways,transporation service in rural areas,free cylinders,2gb data free for students,28%
2020,FLORIDA,FL,12,59,43,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,5668731,loss,improving infrastructure in harbour ports,same ration card for all the states,increasing the public toilets,reservation in private sector wil also insisted ,clean US,17%
2020,FLORIDA,FL,12,59,43,US PRESIDENT,"JORGENSEN, JO",LIBERTARIAN,70324,loss,free bicycle,free laptop,2gb data free for college studensts,6lpg cylinders are  free for a year,gas pipeline plan,18%
2020,FLORIDA,FL,12,59,43,US PRESIDENT,"HAWKINS, HOWIE",GREEN,14721,loss,increase in maternity leave period ,govt job to families without anyone in state service,free laptop ,free bicyle,hi-tech highways,34%
2020,FLORIDA,FL,12,59,43,US PRESIDENT,"LA RIVA, GLORIA ESTELLA",PARTY FOR SOCIALISM AND LIBERATION,5712,loss,cancel of education loan,free laptop,free bicyle,2gb data for students,clean US,27%
2020,FLORIDA,FL,12,59,43,US PRESIDENT,"DE LA FUENTE, ROQUE """"ROCKY""""",ALLIANCE,5966,loss,gas pipline plan ,hi-tech highways,transporation service in rural areas,improvinf infrascture in harbour ports,increasing the investements from fereign MNC's,48%
2020,FLORIDA,FL,12,59,43,US PRESIDENT,"HOWARD, SHAWN W.",,9,loss,free laptop,free bicycle,2gb data free for college studensts,free washing machine,6 lpg cylinders are free for a year,36%
2020,FLORIDA,FL,12,59,43,US PRESIDENT,"BLANKENSHIP, DON",CONSTITUTION PARTY,3902,loss,building concrete houses for people,improving infrastructure in harbour ports,hi-tech highways,increase in maternity leave period ,free education,70%
2020,FLORIDA,FL,12,59,43,US PRESIDENT,"WELLS, KASEY",NON-AFFILIATED,8,loss,free laptop,free bicycle,2gb data free for college studensts,free washing machine,6 lpg cylinders are free for a year,17%
2020,FLORIDA,FL,12,59,43,US PRESIDENT,"WALLS-WINDHAUSER, ANGELA",,2,loss,free hospitalization,govt job to ladies,loan waiver to hotels,education empowerment,free bicycle,8%
2020,FLORIDA,FL,12,59,43,US PRESIDENT,"SIMMONS, JADE",INDEPENDENT,181,loss,incresing the investement from foreign MNC's,same ration card for all the states,free laptop ,cancel of education loan,free bicycle,18%
2020,FLORIDA,FL,12,59,43,US PRESIDENT,"CARROLL, BRIAN",AMERICAN SOLIDARITY PARTY,854,loss,clean US,repayment omission for gold loan,free washing machine,buliding concrete houses for people living in huts,free education,19%
2020,FLORIDA,FL,12,59,43,US PRESIDENT,"LABOCH, MICHAEL",,1,loss,expanding the rural employtment guarantee scheme to 150 days,hi-tech highways,transporation service in rural areas,free cylinders,2gb data free for students,6%
2020,GEORGIA,GA,13,58,44,US PRESIDENT,"BELLAR, BARBARA",,10,loss,improving infrastructure in harbour ports,same ration card for all the states,increasing the public toilets,reservation in private sector wil also insisted ,clean US,29%
2020,GEORGIA,GA,13,58,44,US PRESIDENT,"CARROLL, BRIAN",AMERICAN SOLIDARITY PARTY,701,loss,free bicycle,free laptop,2gb data free for college studensts,6lpg cylinders are  free for a year,gas pipeline plan,89%
2020,GEORGIA,GA,13,58,44,US PRESIDENT,"BYRNE, DAVID",,6,loss,increase in maternity leave period ,govt job to families without anyone in state service,free laptop ,free bicyle,hi-tech highways,28%
2020,GEORGIA,GA,13,58,44,US PRESIDENT,"ROUSE, DEBORAH",,1,loss,cancel of education loan,free laptop,free bicyle,2gb data for students,clean US,19%
2020,GEORGIA,GA,13,58,44,US PRESIDENT,"BLANKENSHIP, DON",CONSTITUTION PARTY,61,loss,gas pipline plan ,hi-tech highways,transporation service in rural areas,improvinf infrascture in harbour ports,increasing the investements from fereign MNC's,38%
2020,GEORGIA,GA,13,58,44,US PRESIDENT,"LA RIVA, GLORIA ESTELLA",PARTY FOR SOCIALISM AND LIBERATION,159,loss,clean US,repayment omission for gold loan,free washing machine,buliding concrete houses for people living in huts,free laptop,29%
2020,GEORGIA,GA,13,58,44,US PRESIDENT,"HAWKINS, HOWIE",GREEN,1013,loss,repayment omission for gold loan,repayment omissiion for agriculture,cancel of education loan,gas pipeline,40% job to ladies,82%
2020,GEORGIA,GA,13,58,44,US PRESIDENT,"SIMMONS, JADE",INDEPENDENT,181,loss,tourism development ,job to youth ,40% govt jon to ladies,free hospitalization,free education,35%
2020,GEORGIA,GA,13,58,44,US PRESIDENT,"WELLS, KASEY",NON-AFFILIATED,6,loss,loan waiber to hotels,decrease of petrol ,decrease of tax,education empowerment,eradication of racisim,25%
2020,GEORGIA,GA,13,58,44,US PRESIDENT,"GIBSON, KATHRYN",,2,loss,free washing machine,montlhy rs.1500 for household womens,6 lgp cylinders are free ,repayment omission for agriculture loan,repayment omission for gold loan,36%
2020,GEORGIA,GA,13,58,44,US PRESIDENT,"COLLINS, LOREN",,11,loss,cancel of education loan,free laptop,free bicyle,2gb data for students,clean US,16%
2020,GEORGIA,GA,13,58,44,US PRESIDENT,"CHARLES, MARK",INDEPENDENT,65,loss,gas pipline plan ,hi-tech highways,transporation service in rural areas,improvinf infrascture in harbour ports,increasing the investements from fereign MNC's,18%
2020,GEORGIA,GA,13,58,44,US PRESIDENT,"SHERRILL, PETER",,8,loss,improvising the USn economy to 5 trillion dollars,same ration card for all the states,buliding concrete houses for people living in huts,increasing the public toilets facility,introducing metro trains in 2nd level cities,38%
2020,GEORGIA,GA,13,58,44,US PRESIDENT,"BODDIE, R. PRESIDENT",INDEPENDENT,8,loss,clean US,repayment omission for gold loan,free washing machine,buliding concrete houses for people living in huts,free education,39%
2020,GEORGIA,GA,13,58,44,US PRESIDENT,"JACOB?FAMBRO, PRINCESS KHADIJAH MARYAM",INDEPENDENT,7,win,education empowerment,eradication of racisim,distribution of solar powered cooking stoves,introducing metro trains in 2nd level cities,women would get a 50 percent fare cut in town buses,89%
2020,GEORGIA,GA,13,58,44,US PRESIDENT,"HOWARD, SHAWN W.",,5,win,cancel of education loan,free laptop,free bicyle,2gb data for students,clean US,26%
2020,GEORGIA,GA,13,58,44,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,2473633,win,gas pipline plan ,hi-tech highways,transporation service in rural areas,improvinf infrascture in harbour ports,increasing the investements from fereign MNC's,19%
2020,GEORGIA,GA,13,58,44,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,2461854,loss,improvising the USn economy to 5 trillion dollars,same ration card for all the states,buliding concrete houses for people living in huts,increasing the public toilets facility,introducing metro trains in 2nd level cities,14%
2020,GEORGIA,GA,13,58,44,US PRESIDENT,"JORGENSEN, JO",LIBERTARIAN,62229,loss,distribution of solar power cooking stoves,expanding the rural employment gurantee schceme to 150 days,women would get 50% fare cut in town buses,free education,loan waiver to hotels,37%
2020,HAWAII,HI,15,95,82,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,366130,win,education empowerment,job to youth ,clean US,gas pipeline,cancel of education loan,18%
2020,HAWAII,HI,15,95,82,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,196864,loss,hi-tech highways,transporation services in rural areas,free laptop ,free hospitalization,eradication of racisim,39%
2020,HAWAII,HI,15,95,82,US PRESIDENT,"JORGENSEN, JO",LIBERTARIAN,5539,loss,40% govt job to ladies,decrease of petrol ,free bicycle,2gb data for students,improving infrastructure in harbour ports,30%
2020,HAWAII,HI,15,95,82,US PRESIDENT,"HAWKINS, HOWIE",GREEN,3822,loss,repayment omission for gold loan,increase in maternity leave period ,gas pipeline,transportation services in rural areas,cancel of education loan,80%
2020,HAWAII,HI,15,95,82,US PRESIDENT,"PIERCE, BROCK",AMERICAN SHOPPING PARTY,1183,loss,free laptop,free bicycle,2gb data free for college studensts,free washing machine,6 lpg cylinders are free for a year,40%
2020,HAWAII,HI,15,95,82,US PRESIDENT,"BLANKENSHIP, DON",CONSTITUTION PARTY,931,loss,free hospitalization,govt job to ladies,loan waiver to hotels,education empowerment,free bicycle,38%
2020,HAWAII,HI,15,95,82,US PRESIDENT,BLANK VOTES,,4927,loss,incresing the investement from foreign MNC's,same ration card for all the states,free laptop ,cancel of education loan,free bicycle,20%
2020,HAWAII,HI,15,95,82,US PRESIDENT,OVERVOTES,,388,loss,clean US,repayment omission for gold loan,free washing machine,buliding concrete houses for people living in huts,free education,33%
2020,IDAHO,ID,16,82,63,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,287021,loss,expanding the rural employtment guarantee scheme to 150 days,hi-tech highways,transporation service in rural areas,free cylinders,2gb data free for students,19%
2020,IDAHO,ID,16,82,63,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,554119,win,improving infrastructure in harbour ports,same ration card for all the states,increasing the public toilets,reservation in private sector wil also insisted ,clean US,17%
2020,IDAHO,ID,16,82,63,US PRESIDENT,"JORGENSEN, JO",LIBERTARIAN,16404,loss,free bicycle,free laptop,2gb data free for college studensts,6lpg cylinders are  free for a year,gas pipeline plan,14%
2020,IDAHO,ID,16,82,63,US PRESIDENT,"HAWKINS, HOWIE",GREEN,407,loss,increase in maternity leave period ,govt job to families without anyone in state service,free laptop ,free bicyle,hi-tech highways,11%
2020,IDAHO,ID,16,82,63,US PRESIDENT,"PIERCE, BROCK",INDEPENDENT,2808,loss,tourism development ,job to youth ,40% govt jon to ladies,free hospitalization,free education,35%
2020,IDAHO,ID,16,82,63,US PRESIDENT,"BLANKENSHIP, DON",CONSTITUTION PARTY,1886,loss,loan waiber to hotels,decrease of petrol ,decrease of tax,education empowerment,eradication of racisim,19%
2020,IDAHO,ID,16,82,63,US PRESIDENT,"DE LA FUENTE, ROQUE """"ROCKY""""",INDEPENDENT,1491,loss,free washing machine,montlhy rs.1500 for household womens,6 lgp cylinders are free ,repayment omission for agriculture loan,repayment omission for gold loan,19%
2020,IDAHO,ID,16,82,63,US PRESIDENT,"WEST, KANYE",INDEPENDENT,3632,loss,introducing metro trains in 2nd level cities,increasing the public toilets,repayment omission for agriculture loan,hi-tech highways,same ration card for all the states,89%
2020,IDAHO,ID,16,82,63,US PRESIDENT,"LA RIVA, GLORIA ESTELLA",PARTY FOR SOCIALISM AND LIBERATION,49,loss,gas pipline plan ,hi-tech highways,transporation service in rural areas,improvinf infrascture in harbour ports,increasing the investements from fereign MNC's,10%
2020,IDAHO,ID,16,82,63,US PRESIDENT,"CARROLL, BRIAN",AMERICAN SOLIDARITY PARTY,163,loss,improvising the USn economy to 5 trillion dollars,same ration card for all the states,buliding concrete houses for people living in huts,increasing the public toilets facility,introducing metro trains in 2nd level cities,39%
2020,IDAHO,ID,16,82,63,US PRESIDENT,"CELLA, TODD",INDEPENDENT,1,loss,cancel of education loan,free laptop,free bicyle,2gb data for students,clean US,39%
2020,IDAHO,ID,16,82,63,US PRESIDENT,"FRANKLIN, CHRIS",,1,loss,education empowerment,job to youth ,clean US,gas pipeline,cancel of education loan,27%
2020,IDAHO,ID,16,82,63,US PRESIDENT,"HOEFLING, TOM",NON-AFFILIATED,7,loss,hi-tech highways,transporation services in rural areas,free laptop ,free hospitalization,eradication of racisim,11%
2020,IDAHO,ID,16,82,63,US PRESIDENT,"HOWARD, SHAWN W.",,4,loss,40% govt job to ladies,decrease of petrol ,free bicycle,2gb data for students,improving infrastructure in harbour ports,19%
2020,IDAHO,ID,16,82,63,US PRESIDENT,"SIMMONS, JADE",INDEPENDENT,21,loss,distribution of solar power cooking stoves,expanding the rural employment gurantee schceme to 150 days,women would get 50% fare cut in town buses,free education,loan waiver to hotels,39%
2020,ILLINOIS,IL,17,33,21,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,3471915,win,2 GB data free for college student,Monthly RS 1500 for household women's,Free laptop,6 LPG cylinders are free for a year,Free washing machine for each house,29%
2020,ILLINOIS,IL,17,33,21,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,2446891,loss,Free bicycle,Free hospitalization,Distribution of solar-powered cooking stoves,Govt job to ladies ,Loan waiver to hotels ,38%
2020,ILLINOIS,IL,17,33,21,US PRESIDENT,"JORGENSEN, JO",LIBERTARIAN,66544,loss,Monthly RS 1500 for household women's,Free washing machine for each house,Education Empowerment,Eradication of racisim,Free Education,34%
2020,ILLINOIS,IL,17,33,21,US PRESIDENT,"HAWKINS, HOWIE",GREEN,30494,loss,Free laptop,Building concrete houses for people living in huts,2 GB data free for college student,Distribution of solar-powered cooking stoves,Free hospitalization,19%
2020,ILLINOIS,IL,17,33,21,US PRESIDENT,"CARROLL, BRIAN",AMERICAN SOLIDARITY PARTY,9548,loss,Hi-Tech highways,Clean US,Gas pipeline plan,Indroducing Metro Trains in 2nd level cities,Job to Youth 40%,78%
2020,ILLINOIS,IL,17,33,21,US PRESIDENT,"LA RIVA, GLORIA ESTELLA",PARTY FOR SOCIALISM AND LIBERATION,8046,loss,Monthly RS 1500 for household women's,Increase in the quota for women in government jobs to 40%,Women would get a 50% fare cut in town buses,Free bicycle,Govt job to ladies ,34%
2020,ILLINOIS,IL,17,33,21,US PRESIDENT,"FARNEY, JOHN",,84,loss,Free washing machine for each house,2 GB data free for college student,Monthly RS 1500 for household women's,Free hospitalization,Education Empowerment,25%
2020,ILLINOIS,IL,17,33,21,US PRESIDENT,"SIMMONS, JADE",INDEPENDENT,78,loss,Repayment omission for gold loans,Decrease of tax,Loan waiver to hotels,government job to families without anyone in state service,Free laptop,18%
2020,ILLINOIS,IL,17,33,21,US PRESIDENT,MARK CHARLES,INDEPENDENT,75,loss,Monthly RS 1500 for household women's,2 GB data free for college student,Free hospitalization,Education Empowerment,Free bicycle,16%
2020,ILLINOIS,IL,17,33,21,US PRESIDENT,"WELLS, KASEY",NON-AFFILIATED,18,loss,Building concrete houses for people living in huts,Repayment omission for gold loans,Eradication of racisim,Govt job to ladies ,Distribution of solar-powered cooking stoves,16%
2020,ILLINOIS,IL,17,33,21,US PRESIDENT,"BLANKENSHIP, DON",CONSTITUTION PARTY,18,loss,Free education,Eradication of racisim,The financial assistance to the differently-abled would be increased,Increase in maternity leave period and assistance,Government job to families whitout anyone in state service,19%
2020,ILLINOIS,IL,17,33,21,US PRESIDENT,"WILLIAMS JR., ANDY",,8,loss,Increasing the investment from foreign MNC'S,Transportational services in rural areas,Improvising USn economy to 5 trillion dollars,Same ration card for all the states,Decrease of petrol price,86%
2020,ILLINOIS,IL,17,33,21,US PRESIDENT,"BELLAR, BARBARA",,7,loss,Free hospitalization,Free laptop,Distribution of solar-powered cooking stoves,Loan waiver to hotels ,Eradication of racisim,26%
2020,ILLINOIS,IL,17,33,21,US PRESIDENT,"KISHORE, JOSEPH",INDEPENDENT,5,loss,Free washing machine for each house,Free hospitalization,Monthly RS 1500 for household women's,Free Education,6 LPG cylinders are free for a year,40%
2020,ILLINOIS,IL,17,33,21,US PRESIDENT,"MCKEE, KEVIN",,4,loss,Building concrete houses for people living in huts,Free bicycle,Increase in maternity leave period and assistance,Distribution of solar-powered cooking stoves,Govt job to ladies ,25%
2020,ILLINOIS,IL,17,33,21,US PRESIDENT,"COLLINS, PHIL",INDEPENDENT,3,loss,2 GB data free for college student,Monthly RS 1500 for household women's,Same ration card for all the states,Education Empowerment,Building concrete houses for people living in huts,19%
2020,ILLINOIS,IL,17,33,21,US PRESIDENT,"STRUCK, JAMES TIMOTHY",,2,loss,Free bicycle,Free hospitalization,Transportational services in rural areas,Free washing machine for each house,Govt job to ladies ,15%
2020,ILLINOIS,IL,17,33,21,US PRESIDENT,"ROUSE, DEBORAH",,1,win,Job to youth 40%,Increaseing the public toilets facility,Women would get a 50% fare cut in town buses,Clean US,Cancel of education loan,89%
2020,ILLINOIS,IL,17,33,21,US PRESIDENT,"HIGGS, JEREMY",,1,loss,Transportation services in rual areas,Improving infrastructure in harbour ports,Same ration card for all the states,Free bicycle,Repayment omission for gold loan ,19%
2020,ILLINOIS,IL,17,33,21,US PRESIDENT,"SIMMONS, MARY RUTH CARO",,1,loss,Free hospitalization,Transportation services in rual areas,Education Empowerment,Monthly RS 1500 for household women's,Improvising USn economy to 5 trillion dollars,36%
2020,USNA,IN,18,32,22,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,1242416,loss,Same ration card for all the states,Improving infrastructure in harbour ports,Free laptop,Govt job to ladies ,Indroducing Metro Trains in 2nd level cities,10%
2020,USNA,IN,18,32,22,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,1729519,win,Improving infrastructure in harbour ports,2 GB data free for college student,Women would get a 50% fare cut in town buses,Distribution of solar-powered cooking stoves,Eradication of racisim,15%
2020,USNA,IN,18,32,22,US PRESIDENT,"JORGENSEN, JO",LIBERTARIAN,59232,loss,Free education,Increasing the investment from foreign MNC'S,Free hospitalization,Free washing machine for each house,Building concrete houses for people living in huts,27%
2020,USNA,IN,18,32,22,US PRESIDENT,"HAWKINS, HOWIE",GREEN,988,loss,Improving infrastructure in harbour ports,Same ration card for all the states,Free laptop,Improvising USn economy to 5 trillion dollars,Education Empowerment,23%
2020,USNA,IN,18,32,22,US PRESIDENT,"CARROLL, BRIAN",AMERICAN SOLIDARITY PARTY,893,loss,Transportation services in rual areas,Improving infrastructure in harbour ports,Free bicycle,Distribution of solar-powered cooking stoves,Govt job to ladies ,17%
2020,USNA,IN,18,32,22,US PRESIDENT,"HOWARD, SHAWN W.",,23,loss,Monthly RS 1500 for household women's,Repayment omission for gold loans,Distribution of solar-powered cooking stoves,Free washing machine for each house,Free Education,37%
2020,USNA,IN,18,32,22,US PRESIDENT,"MCCRAY, VALERIE",,17,loss,Hi-Tech highways,2 GB data free for college student,Free hospitalization,Same ration card for all the states,Increase in maternity leave period and assistance,28%
2020,USNA,IN,18,32,22,US PRESIDENT,"SCHRINER, JOE",,13,loss,Increase in maternity leave period and assistance,women would get a 50% fare cut in town buses,Gas pipeline plan,2 GB data free for college student,Cancel of education loan,79%
